Theme number,Theme,Topic,Order,Aim,Link1,Link2,Date,Time,Speaker,Moderator,Partners who will participate
1,Orientation,"- Who are the partners
- Goal of the session
- What is open science
- What is Research Software
- Who is in the community
- What can people expect of the series
- How can different types of people benefit from the different themes
- Technologies that will be used in these sessions
- Where can people connect inbetween the sessions
",0,"Provide people with informaiton that will help them understand how they will benefit from attending, what they can get, etc",,,28 August 2024,8:30 UTC,"- RSE Asia
- RSSE Africa
- AREN
- ReSA
- Jyoti/Saranjeet
- Anelda/Mireille/Richard",Anelda,
2,Research Software and Open Science,"- What is research software & systems
- history
- how does it link to open science",1,Help both research software engineers and researchers understand how research software make it possible to practice open science,,,25 September 2024,8:30 UTC,,,
2,Research Software and Open Science,How to cite and describe software used in publications,,Help researchers to make research more reproducible by knowing how to describe the software they use in their research in publications,https://www.software.ac.uk/publication/how-cite-and-describe-software,,,8:30 UTC,,,
2,Research Software and Open Science,The FAIR for Research Software principles,,,https://www.nature.com/articles/s41597-022-01710-x,,,8:30 UTC,,,
2,Research Software and Open Science,Publishing code as a paper,,,https://www.software.ac.uk/guide/where-can-i-publish-executable-papers-and-notebooks,,,8:30 UTC,,,
2,Research Software and Open Science,RSE in Open Science Policies,,,https://www.researchsoft.org/guidelines/,,,8:30 UTC,,,
3,Professional development,What skills are needed to develop research software,,,https://arxiv.org/abs/2311.11457,,,8:30 UTC,,,
3,Professional development,Pathways to becoming a research software developer,,,,,,,,,
4,Developing research software,What is software sustainability and when should you think about it?,,,https://www.software.ac.uk/guide/approaches-software-sustainability,,,8:30 UTC,,,
4,Developing research software,Ensuring your code does what you think it is doing - testing,,,https://www.software.ac.uk/guide/how-continuous-integration-can-help-you-regularly-test-and-release-your-software,,,8:30 UTC,,,
4,Developing research software,Where can you find funding for developing research software?,,,https://www.software.ac.uk/top-tip/top-tips-writing-case-funding-software-developer,ReSA list,,8:30 UTC,,,
5,"- Growing your userbase
- Community and collaboration
- Accessibility and collaboration",How to write readable code,,,https://www.software.ac.uk/guide/writing-readable-source-code,,,8:30 UTC,,,
5,"- Growing your userbase
- Community and collaboration
- Accessibility and collaboration",How can you make your code available to others?,,Help researchers who write scritps and software to make their code open by adding the correct license and selecting an appropriate repository to host it,https://www.software.ac.uk/guide/choosing-repository-your-software-project,,,8:30 UTC,,,
5,"- Growing your userbase
- Community and collaboration
- Accessibility and collaboration",How can you get people to contribute and use your code?,,Help researchers who have opened up their code to build a community around the project,https://www.software.ac.uk/top-tip/top-tips-managing-your-open-source-project-community-effectively,https://www.software.ac.uk/guide/starting-community-taking-your-software-world,,8:30 UTC,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Top tips for choosing computing infrastructure ,,,https://www.software.ac.uk/top-tip/top-tips-choosing-computing-infrastructure,,,8:30 UTC,,,
